KKS
N ген
Перепад давления влагоотделитель
Перепад на фильтре предварительной очистки
Перепад давления на фильтре тонкой очистки
Перепад давления на фильтре
Давление на входе в компрессор
Температура на входе в компрессор (макс из 4)
Температура на входе в компрессор (мин из 4)
Температура на входе в компрессор (средняя из 4)
Температура на выходе из компрессора
Температура на выходе из компрессора
144,Давление в корпусе турбины перед обоймой лопаток
145,Давление в корпусе турбины перед обоймой лопаток
146,Давление охлаждающего воздуха на третью ступень турбины
147,Давление охлаждающего воздуха на третью ступень турбины
148,Шаровой клапан GV3 управления охлаждающим воздухом
149,Шаровой клапан GV3 управления охлаждающим воздухом
150,Вентилятор 1 охлаждающего уплотняющего воздуха
151,Вентилятор 2 охлаждающего уплотняющего воздуха
152,Температура охлажденного уплотняющего воздуха 1  на выходе теплообменника MBH40AH001
153,Температура охлажденного уплотняющего воздуха 2  на выходе теплообменника MBH40AH001
154,Температура охлажденного уплотняющего воздуха 3  на выходе теплообменника MBH40AH001
